x,y,z,class,paths
7.20E+00,1.48E+01,6.41E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_0-4.wav
6.08E+00,1.33E+01,5.30E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_1003-1008.wav
7.76E+00,1.51E+01,6.86E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_1008-1012.wav
7.74E+00,1.51E+01,6.84E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_1012-1017.wav
7.74E+00,1.51E+01,6.85E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_1017-1021.wav
6.21E+00,1.35E+01,5.39E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_1021-1026.wav
6.32E+00,1.33E+01,5.35E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_1026-1030.wav
7.23E+00,1.48E+01,6.43E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_103-108.wav
6.24E+00,1.37E+01,5.54E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_1030-1035.wav
5.98E+00,1.26E+01,5.10E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_1035-1039.wav
6.09E+00,1.33E+01,5.31E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_1039-1044.wav
5.99E+00,1.25E+01,5.06E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_1044-1048.wav
6.57E+00,1.41E+01,5.82E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_1048-1053.wav
6.04E+00,1.23E+01,4.99E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_1053-1057.wav
6.40E+00,1.06E+01,4.34E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_1057-1062.wav
5.93E+00,1.26E+01,5.12E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_1062-1066.wav
6.01E+00,1.24E+01,5.02E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_1066-1071.wav
6.38E+00,1.06E+01,4.37E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_1071-1075.wav
6.93E+00,1.45E+01,6.17E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_1075-1080.wav
7.73E+00,1.52E+01,6.86E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_108-112.wav
6.85E+00,1.44E+01,6.09E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_1080-1084.wav
6.84E+00,1.44E+01,6.08E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_1084-1089.wav
6.96E+00,1.45E+01,6.20E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_1089-1093.wav
6.38E+00,1.06E+01,4.37E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_1093-1098.wav
5.91E+00,1.26E+01,5.12E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_1098-1102.wav
6.36E+00,1.07E+01,4.39E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_1102-1107.wav
6.52E+00,1.41E+01,5.81E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_1107-1111.wav
6.35E+00,1.07E+01,4.40E+00,4,D:\PhD-data\Tarcutta-DryA-20210427\20210427T000000+1000_REC_1111-1116.wav
