x,y,z,sound_path,class
4.74E+00,-1.07E-01,6.28E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_0-4.5.wav,unlabelled
5.05E+00,2.94E+00,1.02E+01,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1003.5-1008.0.wav,unlabelled
-2.30E+00,4.65E+00,6.34E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1008.0-1012.5.wav,unlabelled
1.44E+00,2.78E+00,8.65E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1012.5-1017.0.wav,unlabelled
6.71E+00,3.18E+00,1.03E+01,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1017.0-1021.5.wav,unlabelled
6.11E+00,3.15E+00,1.05E+01,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1021.5-1026.0.wav,unlabelled
7.87E-01,2.91E+00,8.40E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1026.0-1030.5.wav,unlabelled
4.33E+00,-2.49E-01,6.03E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_103.5-108.0.wav,unlabelled
1.69E+00,1.52E+00,7.63E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1030.5-1035.0.wav,unlabelled
7.63E+00,2.41E+00,1.06E+01,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1035.0-1039.5.wav,unlabelled
6.95E+00,2.44E+00,9.18E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1039.5-1044.0.wav,unlabelled
7.74E+00,7.81E-01,4.48E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1044.0-1048.5.wav,unlabelled
3.47E+00,1.34E+00,5.41E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1048.5-1053.0.wav,unlabelled
3.27E+00,3.32E-01,6.11E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1053.0-1057.5.wav,unlabelled
-3.61E-01,5.10E+00,3.34E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1057.5-1062.0.wav,unlabelled
4.25E+00,1.60E+00,2.50E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1062.0-1066.5.wav,unlabelled
-7.97E-01,3.43E+00,5.31E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1066.5-1071.0.wav,unlabelled
-1.27E+00,3.48E+00,5.80E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1071.0-1075.5.wav,unlabelled
-7.80E-01,3.48E+00,5.24E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1075.5-1080.0.wav,unlabelled
-8.25E-01,3.30E+00,5.29E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_108.0-112.5.wav,unlabelled
-2.29E+00,5.03E+00,6.31E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1080.0-1084.5.wav,unlabelled
-3.26E+00,4.54E+00,5.81E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1084.5-1089.0.wav,unlabelled
-2.08E+00,6.34E+00,5.75E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1089.0-1093.5.wav,unlabelled
2.15E+00,-6.54E-03,6.19E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1093.5-1098.0.wav,unlabelled
-1.16E+00,6.43E+00,5.29E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1098.0-1102.5.wav,unlabelled
2.75E+00,2.68E+00,2.10E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1102.5-1107.0.wav,unlabelled
3.48E+00,2.66E+00,1.19E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1107.0-1111.5.wav,unlabelled
4.28E+00,-1.14E-01,6.00E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1111.5-1116.0.wav,unlabelled
-2.30E+00,4.93E+00,6.09E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1116.0-1120.5.wav,unlabelled
-7.91E-01,4.31E+00,4.42E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_112.5-117.0.wav,unlabelled
4.60E+00,-1.36E-01,6.41E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1120.5-1125.0.wav,unlabelled
-1.48E+00,2.20E+00,7.36E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1125.0-1129.5.wav,unlabelled
1.63E+00,2.58E+00,8.72E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1129.5-1134.0.wav,unlabelled
-2.08E+00,4.78E+00,6.24E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1134.0-1138.5.wav,unlabelled
9.20E-01,2.84E+00,8.62E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1138.5-1143.0.wav,unlabelled
8.82E-01,3.23E+00,6.86E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1143.0-1147.5.wav,unlabelled
-1.23E+00,3.46E+00,5.78E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1147.5-1152.0.wav,unlabelled
-2.30E+00,6.20E+00,6.30E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1152.0-1156.5.wav,unlabelled
-1.58E+00,1.83E+00,7.15E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1156.5-1161.0.wav,unlabelled
1.98E+00,9.01E-01,7.23E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1161.0-1165.5.wav,unlabelled
-7.64E-01,4.17E+00,7.59E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1165.5-1170.0.wav,unlabelled
3.99E+00,8.34E-02,6.63E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_117.0-121.5.wav,unlabelled
-1.53E+00,6.80E+00,6.01E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1170.0-1174.5.wav,unlabelled
-1.26E+00,6.11E+00,6.34E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1174.5-1179.0.wav,unlabelled
-1.23E+00,6.01E+00,6.27E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1179.0-1183.5.wav,unlabelled
-2.91E+00,4.31E+00,5.75E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1183.5-1188.0.wav,unlabelled
9.21E-01,2.41E+00,8.30E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1188.0-1192.5.wav,unlabelled
1.69E+00,1.51E+00,7.64E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1192.5-1197.0.wav,unlabelled
2.33E+00,-1.02E-01,6.07E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1197.0-1201.5.wav,unlabelled
-2.49E+00,5.27E+00,6.32E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1201.5-1206.0.wav,unlabelled
-3.20E+00,4.53E+00,5.81E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1206.0-1210.5.wav,unlabelled
9.63E+00,2.24E-01,3.30E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_121.5-126.0.wav,unlabelled
-3.24E+00,4.56E+00,5.81E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1210.5-1215.0.wav,unlabelled
-3.07E+00,4.73E+00,6.00E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1215.0-1219.5.wav,unlabelled
9.41E+00,1.55E+00,3.96E+00,D:\PhD-data\denoising-test\post\20210427T000000+1000_REC_1219.5-1224.0.wav,unlabelled
