x,y,z,sound_path,class
-2.10E+00,3.88E+00,3.02E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_0-4.5.wav,unlabelled
-1.52E+00,3.83E+00,3.41E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1003.5-1008.0.wav,unlabelled
-2.46E+00,4.39E+00,3.44E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1008.0-1012.5.wav,unlabelled
-1.65E+00,3.28E+00,4.85E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1012.5-1017.0.wav,unlabelled
-2.05E+00,4.42E+00,3.77E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1017.0-1021.5.wav,unlabelled
-2.22E+00,4.76E+00,4.13E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1021.5-1026.0.wav,unlabelled
-2.13E+00,5.21E+00,2.86E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1026.0-1030.5.wav,unlabelled
-2.79E+00,5.43E+00,2.08E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_103.5-108.0.wav,unlabelled
-2.44E+00,7.39E+00,4.39E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1030.5-1035.0.wav,unlabelled
-2.17E+00,4.72E+00,4.26E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1035.0-1039.5.wav,unlabelled
-2.65E+00,3.77E+00,3.65E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1039.5-1044.0.wav,unlabelled
-2.64E+00,3.29E+00,3.91E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1044.0-1048.5.wav,unlabelled
-2.19E+00,4.05E+00,2.83E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1048.5-1053.0.wav,unlabelled
-2.65E+00,3.28E+00,3.94E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1053.0-1057.5.wav,unlabelled
-1.64E+00,5.98E+00,1.53E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1057.5-1062.0.wav,unlabelled
-1.95E+00,3.43E+00,2.84E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1062.0-1066.5.wav,unlabelled
-1.56E+00,5.98E+00,1.50E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1066.5-1071.0.wav,unlabelled
-2.40E+00,7.36E+00,4.50E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1071.0-1075.5.wav,unlabelled
-2.38E+00,7.33E+00,4.51E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1075.5-1080.0.wav,unlabelled
-2.86E+00,5.36E+00,2.07E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_108.0-112.5.wav,unlabelled
-2.42E+00,4.82E+00,3.61E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1080.0-1084.5.wav,unlabelled
-1.67E+00,6.08E+00,1.55E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1084.5-1089.0.wav,unlabelled
-1.13E+00,7.04E+00,1.90E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1089.0-1093.5.wav,unlabelled
-2.06E+00,3.03E+00,3.16E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1093.5-1098.0.wav,unlabelled
-1.40E+00,6.90E+00,1.71E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1098.0-1102.5.wav,unlabelled
-1.46E+00,6.15E+00,1.60E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1102.5-1107.0.wav,unlabelled
-1.65E+00,6.07E+00,1.55E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1107.0-1111.5.wav,unlabelled
-1.66E+00,6.14E+00,1.55E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1111.5-1116.0.wav,unlabelled
-1.46E+00,6.85E+00,1.64E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1116.0-1120.5.wav,unlabelled
-2.86E+00,5.36E+00,2.05E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_112.5-117.0.wav,unlabelled
-2.85E+00,5.32E+00,2.10E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1120.5-1125.0.wav,unlabelled
-1.67E+00,6.04E+00,1.58E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1125.0-1129.5.wav,unlabelled
-2.45E+00,4.68E+00,4.23E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1129.5-1134.0.wav,unlabelled
-2.41E+00,5.47E+00,2.50E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1134.0-1138.5.wav,unlabelled
-2.18E+00,5.14E+00,2.99E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1138.5-1143.0.wav,unlabelled
-1.71E+00,7.27E+00,4.76E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1143.0-1147.5.wav,unlabelled
-2.34E+00,5.45E+00,2.56E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1147.5-1152.0.wav,unlabelled
-2.30E+00,4.83E+00,3.52E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1152.0-1156.5.wav,unlabelled
-1.95E+00,3.72E+00,2.90E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1156.5-1161.0.wav,unlabelled
-2.65E+00,3.35E+00,3.91E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1161.0-1165.5.wav,unlabelled
-2.32E+00,5.21E+00,2.89E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1165.5-1170.0.wav,unlabelled
-2.66E+00,5.49E+00,2.17E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_117.0-121.5.wav,unlabelled
-2.33E+00,5.42E+00,2.56E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1170.0-1174.5.wav,unlabelled
-1.56E+00,6.84E+00,1.70E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1174.5-1179.0.wav,unlabelled
-1.59E+00,6.86E+00,1.70E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1179.0-1183.5.wav,unlabelled
-2.27E+00,5.44E+00,2.50E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1183.5-1188.0.wav,unlabelled
-2.17E+00,2.35E+00,4.20E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1188.0-1192.5.wav,unlabelled
-1.49E+00,3.80E+00,3.45E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1192.5-1197.0.wav,unlabelled
-2.85E+00,5.36E+00,2.06E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1197.0-1201.5.wav,unlabelled
-2.79E+00,5.41E+00,2.09E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_1201.5-1206.0.wav,unlabelled
-2.18E+00,1.44E+00,5.18E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_121.5-126.0.wav,unlabelled
-2.41E+00,5.42E+00,2.53E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_126.0-130.5.wav,unlabelled
-5.85E-01,7.41E+00,2.61E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_13.5-18.0.wav,unlabelled
-2.63E+00,3.73E+00,3.59E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_130.5-135.0.wav,unlabelled
-2.13E+00,2.22E+00,5.09E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_135.0-139.5.wav,unlabelled
-2.62E+00,3.36E+00,3.86E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_139.5-144.0.wav,unlabelled
-1.94E+00,2.36E+00,5.48E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_144.0-148.5.wav,unlabelled
-1.56E+00,1.13E+00,5.61E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_148.5-153.0.wav,unlabelled
-1.65E+00,1.00E+00,5.59E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_153.0-157.5.wav,unlabelled
-1.65E+00,6.61E-01,5.88E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_157.5-162.0.wav,unlabelled
-1.64E+00,7.13E-01,5.81E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_162.0-166.5.wav,unlabelled
-1.62E+00,6.99E-01,5.81E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_166.5-171.0.wav,unlabelled
-1.74E+00,3.27E+00,4.10E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_171.0-175.5.wav,unlabelled
-2.08E+00,2.43E+00,4.33E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_175.5-180.0.wav,unlabelled
-1.25E+00,5.85E+00,2.57E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_18.0-22.5.wav,unlabelled
-1.85E+00,2.18E+00,5.01E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_180.0-184.5.wav,unlabelled
-1.73E+00,2.16E+00,4.91E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_184.5-189.0.wav,unlabelled
-1.94E+00,2.40E+00,4.77E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_189.0-193.5.wav,unlabelled
-2.43E+00,3.08E+00,3.96E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_193.5-198.0.wav,unlabelled
-9.58E-01,7.05E+00,2.08E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_198.0-202.5.wav,unlabelled
-9.15E-01,7.06E+00,2.15E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_202.5-207.0.wav,unlabelled
-7.85E-01,7.17E+00,2.39E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_207.0-211.5.wav,unlabelled
-1.01E+00,7.05E+00,2.01E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_211.5-216.0.wav,unlabelled
-1.06E+00,6.56E+00,2.16E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_216.0-220.5.wav,unlabelled
-1.25E+00,5.86E+00,2.59E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_22.5-27.0.wav,unlabelled
-2.14E+00,4.06E+00,3.12E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_220.5-225.0.wav,unlabelled
-1.91E+00,4.64E+00,3.59E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_225.0-229.5.wav,unlabelled
-2.01E+00,2.86E+00,4.36E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_229.5-234.0.wav,unlabelled
-1.42E+00,3.51E+00,3.67E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_234.0-238.5.wav,unlabelled
-1.89E+00,3.29E+00,3.45E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_238.5-243.0.wav,unlabelled
-1.96E+00,2.86E+00,4.47E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_243.0-247.5.wav,unlabelled
-9.89E-01,7.02E+00,2.06E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_247.5-252.0.wav,unlabelled
-1.99E+00,2.73E+00,4.05E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_252.0-256.5.wav,unlabelled
-1.15E+00,6.43E+00,2.07E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_256.5-261.0.wav,unlabelled
-1.64E+00,3.66E+00,3.92E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_261.0-265.5.wav,unlabelled
-1.52E+00,5.52E+00,2.22E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_265.5-270.0.wav,unlabelled
-1.56E+00,6.99E+00,1.61E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_27.0-31.5.wav,unlabelled
-2.09E+00,3.77E+00,3.34E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_270.0-274.5.wav,unlabelled
-1.38E+00,3.45E+00,3.81E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_274.5-279.0.wav,unlabelled
-1.77E+00,4.08E+00,2.89E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_279.0-283.5.wav,unlabelled
-2.30E+00,4.62E+00,3.35E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_283.5-288.0.wav,unlabelled
-2.59E+00,3.38E+00,3.83E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_288.0-292.5.wav,unlabelled
-2.38E+00,4.70E+00,3.40E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_292.5-297.0.wav,unlabelled
-1.84E+00,3.51E+00,3.21E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_297.0-301.5.wav,unlabelled
-2.11E+00,3.92E+00,3.01E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_301.5-306.0.wav,unlabelled
-2.74E+00,5.45E+00,2.12E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_306.0-310.5.wav,unlabelled
-1.55E+00,7.01E+00,1.60E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_31.5-36.0.wav,unlabelled
-2.65E+00,3.70E+00,3.98E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_310.5-315.0.wav,unlabelled
-2.06E+00,4.71E+00,3.83E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_315.0-319.5.wav,unlabelled
-1.49E+00,6.90E+00,1.67E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_319.5-324.0.wav,unlabelled
-2.19E+00,4.01E+00,2.93E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_324.0-328.5.wav,unlabelled
-1.91E+00,3.30E+00,3.34E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_328.5-333.0.wav,unlabelled
-2.03E+00,5.30E+00,2.68E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_333.0-337.5.wav,unlabelled
-2.65E+00,3.39E+00,3.91E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_337.5-342.0.wav,unlabelled
-2.59E+00,3.30E+00,3.87E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_342.0-346.5.wav,unlabelled
-2.22E+00,2.75E+00,4.13E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_346.5-351.0.wav,unlabelled
-2.56E+00,5.32E+00,2.41E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_351.0-355.5.wav,unlabelled
-1.95E+00,3.44E+00,2.81E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_355.5-360.0.wav,unlabelled
-5.81E-01,7.45E+00,2.56E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_36.0-40.5.wav,unlabelled
-1.96E+00,3.45E+00,2.87E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_360.0-364.5.wav,unlabelled
-1.78E+00,4.06E+00,2.90E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_364.5-369.0.wav,unlabelled
-2.26E+00,4.85E+00,4.15E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_369.0-373.5.wav,unlabelled
-2.21E+00,4.05E+00,2.85E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_373.5-378.0.wav,unlabelled
-1.78E+00,3.89E+00,2.80E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_378.0-382.5.wav,unlabelled
-1.62E+00,3.24E+00,4.82E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_382.5-387.0.wav,unlabelled
-1.66E+00,1.04E+00,5.54E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_387.0-391.5.wav,unlabelled
-1.99E+00,2.72E+00,4.09E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_391.5-396.0.wav,unlabelled
-2.07E+00,2.35E+00,5.11E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_396.0-400.5.wav,unlabelled
-1.48E+00,3.67E+00,3.52E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_4.5-9.0.wav,unlabelled
-5.80E-01,7.44E+00,2.58E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_40.5-45.0.wav,unlabelled
-1.84E+00,1.39E+00,5.53E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_400.5-405.0.wav,unlabelled
-2.14E+00,2.01E+00,5.19E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_405.0-409.5.wav,unlabelled
-2.07E+00,1.98E+00,5.59E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_409.5-414.0.wav,unlabelled
-2.01E+00,2.11E+00,5.61E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_414.0-418.5.wav,unlabelled
-1.71E+00,2.02E+00,4.93E+00,D:\PhD-data\Tarcutta-DryA-20min-samples\20210427T000000+1000_REC_418.5-423.0.wav,unlabelled
