x,y,z,class,sound_path
-1.26E+01,-6.30E+00,1.49E+01,anthrophony,
-1.16E+01,-4.58E+00,1.48E+01,anthrophony,
-1.26E+01,-3.30E+00,1.32E+01,anthrophony,
-1.30E+01,-6.37E+00,1.47E+01,anthrophony,
-1.25E+01,-2.94E+00,1.30E+01,anthrophony,
-1.29E+01,-4.90E+00,1.39E+01,anthrophony,
-1.31E+01,-3.96E+00,1.32E+01,anthrophony,
-1.13E+01,-3.00E+00,1.53E+01,anthrophony,
-1.09E+01,-4.70E+00,1.44E+01,anthrophony,
-1.23E+01,-2.48E+00,1.31E+01,anthrophony,
-1.25E+01,-5.22E+00,1.46E+01,anthrophony,
-1.26E+01,-3.04E+00,1.31E+01,anthrophony,
-1.26E+01,-5.82E+00,1.45E+01,anthrophony,
-1.28E+01,-4.26E+00,1.36E+01,anthrophony,
-1.27E+01,-4.80E+00,1.34E+01,anthrophony,
-1.28E+01,-5.96E+00,1.40E+01,anthrophony,
-1.08E+01,-4.56E+00,1.48E+01,anthrophony,
-1.07E+01,-4.29E+00,1.47E+01,anthrophony,
-1.05E+01,-4.30E+00,1.48E+01,anthrophony,
-1.03E+01,-4.13E+00,1.52E+01,anthrophony,
-1.31E+01,-6.44E+00,1.50E+01,anthrophony,
-1.32E+01,-6.20E+00,1.46E+01,anthrophony,
-1.31E+01,-6.35E+00,1.48E+01,anthrophony,
-1.31E+01,-6.30E+00,1.47E+01,anthrophony,
-1.29E+01,-5.94E+00,1.47E+01,anthrophony,
-1.29E+01,-5.93E+00,1.48E+01,anthrophony,
-1.26E+01,-6.16E+00,1.49E+01,anthrophony,
-1.21E+01,-6.14E+00,1.51E+01,anthrophony,
-5.41E+00,9.62E+00,4.21E+00,anthrophony,
-1.13E+01,-4.18E+00,1.45E+01,anthrophony,
-7.02E+00,7.67E+00,4.65E+00,anthrophony,
-6.83E+00,3.42E+00,1.59E+00,anthrophony,
-1.31E+01,1.95E+00,2.80E+00,anthrophony,
-7.75E+00,8.41E+00,4.33E+00,anthrophony,
-1.11E+01,-4.48E+00,1.46E+01,anthrophony,
-1.19E+01,-4.01E+00,1.45E+01,anthrophony,
-1.23E+01,-5.92E+00,1.52E+01,anthrophony,
-1.38E+01,-4.07E+00,1.39E+01,anthrophony,
-1.37E+01,-4.50E+00,1.65E+01,anthrophony,
-1.34E+01,-5.56E+00,1.47E+01,anthrophony,
-1.37E+01,-3.56E+00,1.32E+01,anthrophony,
-1.33E+01,-5.53E+00,1.42E+01,anthrophony,
1.05E+01,-8.18E+00,2.48E+00,anthrophony,
-7.23E+00,8.40E+00,4.59E+00,anthrophony,
-1.21E+01,-3.61E+00,1.51E+01,anthrophony,
-1.20E+01,-4.43E+00,1.55E+01,anthrophony,
-1.17E+01,-6.70E+00,1.57E+01,anthrophony,
-1.15E+01,-6.16E+00,1.44E+01,anthrophony,
-1.15E+01,1.02E+00,-1.70E+00,anthrophony,
-6.72E+00,8.65E+00,4.99E+00,anthrophony,
-1.10E+01,-3.40E+00,1.42E+01,anthrophony,
-1.00E+01,-3.75E+00,1.61E+01,anthrophony,
-1.11E+01,-3.43E+00,1.44E+01,anthrophony,
-1.18E+01,-5.97E+00,1.39E+01,anthrophony,
-1.05E+01,-3.86E+00,1.52E+01,anthrophony,
-1.04E+01,-4.05E+00,1.67E+01,anthrophony,
-1.26E+01,-5.83E+00,1.54E+01,anthrophony,
-1.17E+01,-5.59E+00,1.45E+01,anthrophony,
-1.17E+01,-3.73E+00,1.42E+01,anthrophony,
-1.27E+01,-3.07E+00,1.45E+01,anthrophony,
-1.33E+01,-2.82E+00,1.65E+01,anthrophony,
9.40E+00,-1.49E+01,4.50E+00,anthrophony,
-1.15E+01,-6.13E+00,1.47E+01,anthrophony,
-1.02E+01,-4.22E+00,1.72E+01,anthrophony,
-1.25E+01,-2.12E+00,1.26E+01,anthrophony,
-1.19E+01,-5.12E+00,1.50E+01,anthrophony,
-1.19E+01,-4.30E+00,1.53E+01,anthrophony,
-5.59E+00,9.77E+00,3.36E+00,anthrophony,
-4.06E+00,1.16E+01,3.37E+00,anthrophony,
-1.21E+01,-3.62E+00,1.41E+01,anthrophony,
9.40E+00,-1.49E+01,4.51E+00,anthrophony,
-8.17E+00,5.30E+00,-9.41E-01,anthrophony,
-1.26E+01,-3.28E+00,1.30E+01,anthrophony,
-1.29E+01,-5.02E+00,1.41E+01,anthrophony,
-1.31E+01,-6.29E+00,1.50E+01,anthrophony,
-1.35E+01,-5.01E+00,1.47E+01,anthrophony,
-1.31E+01,-1.55E+00,1.27E+01,anthrophony,
-1.08E+01,-3.22E+00,1.46E+01,anthrophony,
-1.04E+01,-3.03E+00,1.16E+01,anthrophony,
-1.33E+01,-1.80E+00,1.33E+01,anthrophony,
-1.35E+01,-1.96E+00,1.34E+01,anthrophony,
-1.25E+01,-3.07E+00,1.31E+01,anthrophony,
-1.25E+01,-2.41E+00,1.29E+01,anthrophony,
-1.24E+01,-2.28E+00,1.25E+01,anthrophony,
-1.41E+01,1.34E+00,1.63E+00,anthrophony,
-1.39E+01,1.28E+00,1.60E+00,anthrophony,
-9.70E+00,3.48E+00,-5.50E-02,anthrophony,
-7.31E+00,2.61E+00,9.23E-01,anthrophony,
-8.72E+00,4.45E+00,6.25E-01,anthrophony,
-1.03E+01,2.35E-01,-6.47E-01,anthrophony,
-1.01E+01,2.68E+00,-9.95E-01,anthrophony,
-1.08E+01,-1.33E+00,-8.91E-01,anthrophony,
-1.03E+01,2.86E+00,-9.00E-01,anthrophony,
-9.75E+00,2.10E+00,-1.03E+00,anthrophony,
-9.24E+00,5.05E+00,3.99E-01,anthrophony,
-1.02E+01,2.75E+00,-2.88E-01,anthrophony,
-9.85E+00,2.80E+00,-4.38E-01,anthrophony,
-1.08E+01,1.75E+00,-7.13E-02,anthrophony,
-9.26E+00,3.50E+00,-1.50E+00,anthrophony,
-1.09E+01,1.70E+00,-8.24E-01,anthrophony,
-1.01E+01,2.57E+00,-1.03E+00,anthrophony,
-9.91E+00,3.94E+00,-1.07E+00,anthrophony,
-1.06E+01,-9.13E-01,-3.32E-01,anthrophony,
-1.06E+01,3.42E+00,3.80E-01,anthrophony,
-1.05E+01,-7.31E-01,-4.86E-01,anthrophony,
-1.09E+01,2.43E+00,-1.30E-02,anthrophony,
-1.01E+01,-2.03E+00,2.48E+00,anthrophony,
-9.26E+00,-1.42E-01,8.16E-01,anthrophony,
-1.02E+01,-7.51E-01,-1.56E-01,anthrophony,
-9.61E+00,-2.47E+00,-3.36E-01,anthrophony,
-9.28E+00,3.39E+00,3.80E-01,anthrophony,
-1.02E+01,-1.55E-01,-4.35E-01,anthrophony,
-1.69E+01,-8.40E+00,-6.48E+00,anthrophony,
-8.37E+00,3.70E+00,9.24E-01,anthrophony,
-7.49E+00,-7.72E+00,-1.12E+00,anthrophony,
-6.64E+00,-6.84E+00,3.79E-01,anthrophony,
-7.01E+00,-3.25E+00,-1.59E+00,anthrophony,
-4.23E+00,-5.19E+00,-5.45E+00,anthrophony,
-1.05E+01,4.92E-01,-4.30E-01,anthrophony,
-8.89E+00,1.64E-01,-1.20E-01,anthrophony,
-7.42E+00,-6.07E-01,-6.20E-01,anthrophony,
-7.26E+00,-9.03E+00,-2.86E+00,anthrophony,
-8.88E+00,1.59E+00,2.02E+00,anthrophony,
-1.43E+01,2.48E+00,1.41E+00,anthrophony,
-1.09E+01,-1.08E+00,2.07E+00,anthrophony,
-5.20E+00,-9.88E+00,-1.72E+00,anthrophony,
-4.17E+00,-1.79E+00,5.65E-01,anthrophony,
-4.22E+00,-2.36E+00,1.42E-03,anthrophony,
-9.91E+00,-7.08E+00,-1.06E+00,anthrophony,
-6.04E+00,-3.50E+00,-5.93E-01,anthrophony,
3.69E+00,-8.74E+00,-5.67E+00,anthrophony,
-1.01E+01,-7.96E+00,-9.52E-01,anthrophony,
-7.03E+00,-3.93E+00,-3.37E-01,anthrophony,
-9.42E+00,-7.65E+00,-1.44E-01,anthrophony,
-9.26E+00,-7.70E+00,-3.39E-01,anthrophony,
-1.10E+01,-8.45E+00,-4.15E-01,anthrophony,
-7.16E+00,-3.17E+00,-2.77E+00,anthrophony,
-1.05E+01,-8.69E+00,-1.17E-01,anthrophony,
-8.06E+00,-7.92E+00,1.33E+00,anthrophony,
-9.54E+00,-7.78E+00,-3.21E-01,anthrophony,
-9.38E+00,-6.92E+00,-1.56E+00,anthrophony,
-8.89E+00,-7.63E+00,-7.65E-01,anthrophony,
-4.80E+00,-2.28E+00,1.36E+00,anthrophony,
-7.07E+00,-3.63E+00,-2.10E+00,anthrophony,
-1.02E+01,-8.00E+00,1.98E-02,anthrophony,
-1.03E+01,-1.01E+01,-3.82E-01,anthrophony,
-7.10E+00,-9.24E+00,1.12E+00,anthrophony,
-6.87E+00,-5.08E+00,-1.91E-01,anthrophony,
-1.21E+00,2.44E+00,-3.82E+00,anthrophony,
-7.12E+00,-3.80E+00,-3.73E-01,anthrophony,
-7.62E+00,-3.83E+00,-1.35E+00,anthrophony,
1.15E+00,1.11E+01,-9.68E+00,anthrophony,
-8.22E+00,-8.03E+00,-3.00E-01,anthrophony,
-1.00E+01,-7.78E+00,-1.71E-01,anthrophony,
-1.05E+01,-9.04E+00,-1.22E+00,anthrophony,
5.62E+00,4.69E+00,-7.85E+00,anthrophony,
-8.85E+00,-8.41E+00,-1.04E+00,anthrophony,
-8.99E+00,-8.82E+00,-1.61E+00,anthrophony,
-1.84E+00,2.38E+00,-3.05E-02,anthrophony,
-7.53E+00,-8.83E+00,-3.15E+00,anthrophony,
-5.68E+00,-2.35E+00,7.40E-01,anthrophony,
-1.06E+01,-7.41E+00,-1.22E+00,anthrophony,
-9.33E+00,-7.09E+00,-1.52E+00,anthrophony,
1.60E+00,2.53E+00,-1.13E+01,anthrophony,
-9.54E+00,-7.96E+00,-7.29E-01,anthrophony,
-2.72E+00,1.82E+00,6.44E-01,anthrophony,
-8.76E+00,-9.14E+00,-1.00E+00,anthrophony,
-7.53E+00,-8.80E+00,3.18E+00,anthrophony,
-7.64E+00,-8.85E+00,-2.94E+00,anthrophony,
-7.74E-01,2.81E+00,8.84E-01,anthrophony,
-1.23E+01,-1.34E+00,2.87E+00,anthrophony,
-1.25E+01,-1.32E+00,2.89E+00,anthrophony,
-8.48E+00,2.23E+00,1.45E+00,anthrophony,
-1.34E+01,1.34E+00,2.41E+00,anthrophony,
-3.52E+00,8.56E-01,-1.29E+00,anthrophony,
-9.05E+00,-1.44E+01,-4.73E+00,anthrophony,
-6.28E+00,5.14E+00,-9.07E+00,anthrophony,
-9.01E+00,-7.73E+00,7.30E-01,anthrophony,
-8.52E+00,-4.87E+00,-3.26E+00,anthrophony,
-7.86E+00,-2.61E+00,5.03E-01,anthrophony,
-1.01E+01,-3.35E+00,1.20E+00,anthrophony,
-1.03E+01,-3.48E+00,1.15E+00,anthrophony,
-1.35E+01,1.33E+00,2.14E+00,anthrophony,
-1.25E+01,-1.20E+00,2.82E+00,anthrophony,
-9.19E+00,-8.07E+00,-1.16E+00,anthrophony,
-4.50E+00,-2.70E+00,-2.82E-01,anthrophony,
-8.40E+00,-7.84E-01,-6.21E-02,anthrophony,
-1.11E+01,1.46E+00,1.67E+00,anthrophony,
-8.61E+00,4.73E+00,-1.17E+00,anthrophony,
-8.71E+00,-1.17E-01,-1.76E+00,anthrophony,
-7.14E+00,1.33E+00,-9.39E-01,anthrophony,
-5.02E+00,-1.18E+00,6.35E-01,anthrophony,
-9.73E+00,-1.71E+00,-9.00E-01,anthrophony,
-7.17E+00,2.86E-01,-1.12E+00,anthrophony,
-9.04E+00,3.38E+00,-2.03E+00,anthrophony,
-9.89E+00,-8.30E+00,-1.00E+00,anthrophony,
-1.60E+01,3.86E-01,7.57E-01,anthrophony,
-8.81E+00,-2.92E-01,5.50E-01,anthrophony,
-8.62E+00,-5.14E+00,9.95E-01,anthrophony,
-8.53E+00,-7.90E+00,8.50E-01,anthrophony,
-4.79E+00,2.69E+00,9.96E-01,anthrophony,
-9.70E+00,-2.83E+00,1.16E+00,anthrophony,
-6.16E+00,-9.01E+00,-1.46E+00,anthrophony,
-1.02E+01,-8.92E+00,-1.43E+00,anthrophony,
-4.56E+00,-7.87E+00,-5.02E+00,anthrophony,
-5.09E+00,-3.33E+00,-1.85E+00,anthrophony,
-9.98E+00,-8.27E+00,3.93E-01,anthrophony,
-1.02E+01,-8.22E+00,4.94E-01,anthrophony,
-8.22E+00,-5.55E+00,9.34E-01,anthrophony,
-7.38E+00,-8.83E+00,-2.06E+00,anthrophony,
-6.38E+00,3.47E+00,1.01E+00,anthrophony,
-9.64E+00,-7.04E+00,2.51E+00,anthrophony,
-7.58E+00,-4.99E+00,3.56E-01,anthrophony,
-9.90E-01,2.71E+00,-3.87E+00,anthrophony,
-4.90E+00,-3.39E+00,-1.78E+00,anthrophony,
-7.99E+00,-8.83E+00,-2.48E+00,anthrophony,
-7.24E+00,-6.91E-01,2.73E+00,anthrophony,
-9.41E+00,-7.30E+00,2.43E+00,anthrophony,
9.00E-01,1.35E+01,-1.20E+01,anthrophony,
-7.34E+00,2.80E+00,2.18E+00,anthrophony,
-8.01E+00,-1.82E+00,2.18E+00,anthrophony,
-8.29E+00,2.04E+00,5.37E-01,anthrophony,
-8.02E+00,3.09E+00,-1.47E-01,anthrophony,
-6.43E+00,3.73E+00,3.14E-01,anthrophony,
-4.21E+00,-2.60E+00,5.26E-02,anthrophony,
-8.95E+00,-8.73E+00,-6.19E-01,anthrophony,
-8.06E+00,-6.93E+00,3.82E-01,anthrophony,
-7.54E+00,-7.96E+00,1.85E+00,anthrophony,
-9.49E+00,-8.95E+00,3.91E-01,anthrophony,
-6.86E+00,-4.13E+00,1.12E-03,anthrophony,
-4.28E+00,-2.62E+00,1.53E-03,anthrophony,
-4.10E+00,-1.82E+00,6.19E-01,anthrophony,
-6.09E+00,1.62E+00,-1.41E+00,anthrophony,
-3.92E+00,-1.21E+00,6.93E-01,anthrophony,
-4.54E+00,-2.83E+00,-9.14E-02,anthrophony,
-5.53E+00,-7.14E+00,4.09E-02,anthrophony,
-8.96E+00,-6.08E+00,-1.80E+00,anthrophony,
-1.10E+01,-7.92E+00,1.94E-01,anthrophony,
-5.61E+00,-1.14E+01,-2.16E+00,anthrophony,
-9.23E+00,-7.86E+00,1.19E+00,anthrophony,
-1.06E+01,-8.75E+00,4.65E-01,anthrophony,
-8.31E+00,-6.98E+00,6.58E-01,anthrophony,
-7.41E+00,1.22E+00,-2.63E+00,anthrophony,
-8.53E+00,4.37E+00,-1.31E+00,anthrophony,
-8.60E+00,-2.59E+00,6.68E-01,anthrophony,
-9.79E+00,-7.51E+00,2.26E+00,anthrophony,
-9.56E+00,-6.83E+00,2.53E+00,anthrophony,
-1.24E+01,-1.30E+00,2.81E+00,anthrophony,
-1.30E+01,-8.20E-01,2.96E+00,anthrophony,
-1.29E+01,-9.27E-01,2.95E+00,anthrophony,
-8.14E+00,-1.13E+00,-5.71E-02,anthrophony,
-1.01E+01,4.29E+00,-1.19E+01,anthrophony,
-1.02E+01,2.31E+00,-1.02E+00,anthrophony,
-9.69E+00,2.04E+00,-5.23E-01,anthrophony,
-9.37E+00,-5.50E+00,-3.22E-01,anthrophony,
-9.65E+00,-1.03E+00,1.69E+00,anthrophony,
-1.00E+01,-1.26E+00,2.10E+00,anthrophony,
-7.26E+00,3.02E+00,1.09E+00,anthrophony,
-9.47E+00,1.77E+00,6.20E-01,anthrophony,
-1.02E+01,-1.97E+00,2.48E+00,anthrophony,
-1.03E+01,4.18E-02,1.90E+00,anthrophony,
-8.09E+00,4.35E+00,1.30E+00,anthrophony,
-8.32E+00,4.59E+00,1.13E-02,anthrophony,
-1.05E+01,2.80E+00,-6.83E-01,anthrophony,
-1.03E+01,2.51E+00,-2.09E+00,anthrophony,
-1.04E+01,2.04E+00,5.81E-01,anthrophony,
-5.11E+00,-8.07E+00,2.53E+00,anthrophony,
-7.95E+00,3.80E+00,-5.70E-01,anthrophony,
-6.16E+00,4.70E-01,-4.82E-02,anthrophony,
-6.50E+00,-5.60E-01,-6.58E-01,anthrophony,
-6.03E+00,7.63E-01,-2.59E-02,anthrophony,
-6.55E+00,5.51E+00,1.93E+00,anthrophony,
-8.85E+00,-5.58E+00,-1.63E+00,anthrophony,
-8.93E+00,3.84E+00,-1.44E+00,anthrophony,
-8.76E+00,-6.08E+00,3.45E+00,anthrophony,
-8.95E-01,1.29E+01,1.61E+00,anthrophony,
-7.19E+00,1.42E+00,5.92E-01,anthrophony,
-1.20E+01,-2.19E+00,1.79E+00,anthrophony,
-6.72E+00,3.03E+00,1.29E+00,anthrophony,
-6.47E+00,1.05E+01,5.35E+00,anthrophony,
-6.33E+00,8.98E-02,-1.49E-01,anthrophony,
-7.77E+00,-9.23E+00,8.33E-01,anthrophony,
-5.69E+00,9.77E+00,3.35E+00,anthrophony,
-1.16E+01,-9.78E+00,6.86E-01,anthrophony,
-6.65E+00,-1.07E+00,-8.67E-01,anthrophony,
-7.03E+00,-6.78E+00,-8.05E-01,anthrophony,
-7.91E+00,-9.46E-01,-6.81E-02,anthrophony,
-5.58E+00,-7.12E+00,-7.17E-02,anthrophony,
-8.73E+00,1.73E+00,-2.42E+00,anthrophony,
-8.59E+00,-4.79E+00,-2.37E+00,anthrophony,
-1.04E+00,2.60E+00,-3.85E+00,anthrophony,
-9.42E+00,-5.08E+00,-5.62E-01,anthrophony,
-1.12E+01,-9.21E-01,1.33E+00,anthrophony,
-1.10E+01,-3.00E-02,2.36E+00,anthrophony,
-6.70E+00,-6.86E+00,-8.12E-01,anthrophony,
-7.06E+00,-6.28E+00,-2.64E-01,anthrophony,
-3.19E-01,3.88E+00,-1.44E+01,anthrophony,
-8.79E-01,1.29E+01,1.60E+00,anthrophony,
-1.10E+01,-7.68E+00,7.34E-02,anthrophony,
-5.11E+00,-6.64E+00,-2.06E+00,anthrophony,
-8.63E+00,-8.54E+00,-1.54E+00,anthrophony,
-9.45E+00,4.21E+00,-1.18E+00,anthrophony,
-7.04E+00,-4.38E+00,-3.49E+00,anthrophony,
-8.14E+00,3.92E+00,1.17E+00,anthrophony,
-7.91E+00,-7.01E+00,-2.98E+00,anthrophony,
-7.22E+00,-2.22E+00,-1.26E+00,anthrophony,
-7.33E+00,1.21E+00,-5.73E-01,anthrophony,
-8.49E+00,-4.80E+00,-3.12E+00,anthrophony,
-8.43E+00,7.17E+00,-5.25E+00,anthrophony,
-9.57E+00,-7.27E+00,3.91E-01,anthrophony,
-8.03E+00,-6.52E+00,2.08E+00,anthrophony,
-8.34E+00,-8.18E+00,1.72E-02,anthrophony,
-7.80E+00,-4.46E+00,1.33E+00,anthrophony,
-1.04E+01,-6.14E+00,-1.63E+01,anthrophony,
-8.77E+00,-8.76E+00,-9.74E-01,anthrophony,
-7.10E+00,-8.83E+00,-2.02E+00,anthrophony,
-9.44E+00,-5.88E+00,-3.03E-01,anthrophony,
-9.68E+00,4.66E+00,5.69E-01,anthrophony,
-8.92E+00,-1.01E+00,6.60E-01,anthrophony,
-8.88E+00,-5.61E+00,-1.32E+00,anthrophony,
-6.18E+00,-3.84E+00,-6.01E+00,anthrophony,
1.67E-01,1.12E+01,-6.04E+00,anthrophony,
-6.86E+00,-4.15E+00,2.86E+00,anthrophony,
-1.05E+01,3.48E+00,5.29E-01,anthrophony,
-6.80E+00,1.30E+00,3.65E-02,anthrophony,
-8.13E+00,5.19E+00,-1.12E+00,anthrophony,
-6.20E+00,-4.78E+00,-7.26E+00,anthrophony,
-9.47E+00,9.21E-01,-1.90E+00,anthrophony,
-1.14E+01,8.22E-01,2.41E+00,anthrophony,
-4.96E+00,9.57E-01,-1.77E-01,anthrophony,
-7.17E+00,-7.65E+00,1.06E+00,anthrophony,
-6.64E+00,2.64E-01,-3.52E-01,anthrophony,
-7.86E+00,9.88E-01,-4.20E-01,anthrophony,
-5.19E+00,-1.00E+01,-4.52E+00,anthrophony,
-7.17E+00,4.28E-01,-3.45E-01,anthrophony,
-7.59E+00,1.47E+00,-4.33E-01,anthrophony,
-9.14E+00,5.40E-01,-1.87E+00,anthrophony,
-8.57E+00,-5.72E+00,1.66E+00,anthrophony,
-8.22E+00,-1.91E+00,-9.07E-01,anthrophony,
-5.89E+00,3.86E+00,1.54E+00,anthrophony,
-7.05E+00,2.06E+00,6.03E-01,anthrophony,
-7.37E+00,1.47E+00,8.59E-01,anthrophony,
-5.90E+00,1.67E+00,-1.54E+00,anthrophony,
-8.37E+00,5.27E+00,-4.57E-01,anthrophony,
-2.22E+00,-2.43E+00,-2.42E+00,anthrophony,
