x,y,sound_file,class_label
3.73E+01,-3.10E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA100_1.wav,anthrophony
3.55E+01,-3.18E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA100_10.wav,anthrophony
3.68E+01,-3.16E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA100_11.wav,anthrophony
3.73E+01,-3.15E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA100_12.wav,anthrophony
3.64E+01,-3.28E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA100_13.wav,anthrophony
3.51E+01,-3.12E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA100_14.wav,anthrophony
3.72E+01,-3.19E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA100_2.wav,anthrophony
3.68E+01,-3.26E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA100_3.wav,anthrophony
3.76E+01,-3.14E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA100_4.wav,anthrophony
3.62E+01,-3.24E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA100_5.wav,anthrophony
3.62E+01,-3.26E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA100_6.wav,anthrophony
3.63E+01,-3.05E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA100_7.wav,anthrophony
3.59E+01,-3.26E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA100_8.wav,anthrophony
3.66E+01,-3.04E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA100_9.wav,anthrophony
3.60E+01,-3.16E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA101_1.wav,anthrophony
3.31E+01,-2.69E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA101_10.wav,anthrophony
3.60E+01,-2.86E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA101_11.wav,anthrophony
3.34E+01,-2.44E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA101_12.wav,anthrophony
3.43E+01,-2.23E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA101_13.wav,anthrophony
3.57E+01,-2.14E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA101_14.wav,anthrophony
3.68E+01,-3.12E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA101_2.wav,anthrophony
3.63E+01,-3.14E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA101_3.wav,anthrophony
3.80E+01,-3.04E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA101_4.wav,anthrophony
3.34E+01,-2.83E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA101_5.wav,anthrophony
3.89E+01,-3.00E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA101_6.wav,anthrophony
3.32E+01,-2.79E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA101_7.wav,anthrophony
3.43E+01,-2.63E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA101_8.wav,anthrophony
3.60E+01,-2.88E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA101_9.wav,anthrophony
3.57E+01,-2.14E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA102_1.wav,anthrophony
3.79E+01,-2.78E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA102_10.wav,anthrophony
3.47E+01,-1.86E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA102_11.wav,anthrophony
4.27E+01,-2.01E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA102_12.wav,anthrophony
3.86E+01,-2.79E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA102_13.wav,anthrophony
4.31E+01,-2.03E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA102_14.wav,anthrophony
3.50E+01,-2.41E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA102_2.wav,anthrophony
3.01E+01,-1.87E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA102_3.wav,anthrophony
3.30E+01,-2.52E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA102_4.wav,anthrophony
3.07E+01,-1.93E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA102_5.wav,anthrophony
-6.57E+00,-1.01E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA102_6.wav,anthrophony
3.30E+01,-2.56E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA102_7.wav,anthrophony
3.28E+01,-2.49E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA102_8.wav,anthrophony
3.90E+01,-2.80E+01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA102_9.wav,anthrophony
2.43E+01,-8.55E-01,D:\PhD-data\Wambiana - Processed\anthrophony\audio_segment_dryA103_1.wav,anthrophony
