x,y,z,sound_path,class
2.17E+00,7.53E+00,2.71E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221112T040000+1000_REC_4562.707_4567.207.mp3,BIRDS
4.58E+00,6.41E+00,2.75E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221112T062436+1000_REC_5484.137_5488.637.mp3,BACKGROUNDSILENCE
7.74E+00,8.89E+00,4.28E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221112T080000+1000_REC_6544.742_6549.242.mp3,MISCELLANEOUSUNCERTAIN
4.77E+00,6.41E+00,2.73E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221112T200000+1000_REC_1868.8_1873.3.mp3,BACKGROUNDSILENCE
7.98E+00,8.78E+00,4.46E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221113T035741+1000_REC_45.46_49.96.mp3,MISCELLANEOUSUNCERTAIN
9.06E+00,8.73E+00,4.96E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221113T050219+1000_REC_561.915_566.415.mp3,BACKGROUNDSILENCE
2.02E+00,7.65E+00,2.68E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221113T100000+1000_REC_3189.56_3194.06.mp3,RAINHEAVY
1.13E+01,7.80E+00,5.66E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221113T160000+1000_REC_6583.155_6587.655.mp3,BIRDS
1.12E+01,7.79E+00,5.57E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221113T180000+1000_REC_406.364_410.864.mp3,MISCELLANEOUSUNCERTAIN
8.06E+00,8.77E+00,4.52E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221113T200000+1000_REC_2136.115_2140.615.mp3,BACKGROUNDSILENCE
2.29E+00,7.86E+00,2.75E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221114T080000+1000_REC_4386.917_4391.417.mp3,BACKGROUNDSILENCE
2.57E+00,8.45E+00,2.55E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221114T120000+1000_REC_6697.543_6702.043.mp3,MISCELLANEOUSUNCERTAIN
6.08E+00,5.88E+00,4.21E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221115T020000+1000_REC_5923.414_5927.914.mp3,BACKGROUNDSILENCE
8.92E+00,7.85E+00,5.47E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221115T060000+1000_REC_1979.546_1984.046.mp3,BACKGROUNDSILENCE
7.79E+00,8.93E+00,4.27E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221115T080000+1000_REC_3074.614_3079.114.mp3,BIRDS
8.52E+00,8.87E+00,4.61E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221115T120000+1000_REC_5651.345_5655.845.mp3,BIRDS
8.38E+00,9.00E+00,4.46E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221116T000000+1000_REC_7142.242_7146.742.mp3,BIRDS
9.12E+00,9.10E+00,4.73E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221116T020000+1000_REC_5601.057_5605.557.mp3,BACKGROUNDSILENCE
8.26E+00,8.70E+00,4.70E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221116T040000+1000_REC_5340.75_5345.25.mp3,BACKGROUNDSILENCE
5.97E+00,8.94E+00,3.14E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221116T140000+1000_REC_5522.746_5527.246.mp3,BIRDS
8.54E+00,9.16E+00,4.44E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221116T170921+1000_REC_2538.694_2543.194.mp3,BACKGROUNDSILENCE
8.70E+00,9.16E+00,4.43E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221116T220000+1000_REC_6245.692_6250.192.mp3,BACKGROUNDSILENCE
4.64E+00,6.45E+00,2.71E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221117T000000+1000_REC_1897.97_1902.47.mp3,BACKGROUNDSILENCE
7.60E+00,8.53E+00,4.22E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221117T080000+1000_REC_1872.748_1877.248.mp3,MISCELLANEOUSUNCERTAIN
9.79E+00,7.00E+00,3.57E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221117T182800+1000_REC_4445.333_4449.833.mp3,BIRDS
8.99E+00,7.24E+00,3.33E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221117T201600+1000_REC_590.009_594.509.mp3,BIRDS
7.33E+00,3.93E+00,6.06E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221118T020000+1000_REC_6543.491_6547.991.mp3,BACKGROUNDSILENCE
6.76E+00,6.28E+00,4.08E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221118T060000+1000_REC_5776.587_5781.087.mp3,MISCELLANEOUSUNCERTAIN
1.27E+01,7.52E+00,6.34E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221118T100000+1000_REC_2030.607_2035.107.mp3,BIRDS
4.42E+00,6.24E+00,2.88E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221118T140000+1000_REC_2725.935_2730.435.mp3,BIRDS
7.72E+00,4.33E+00,5.65E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221118T200000+1000_REC_17.954_22.454.mp3,BIRDS
2.45E+00,8.02E+00,2.61E+00,D:\PhD-data\new-samples-t0\Duval_DryA_20221119T100000+1000_REC_6227.99_6232.49.mp3,BACKGROUNDSILENCE
8.65E+00,9.31E+00,4.28E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220428T100000+1000_REC_1690.854_1695.354.mp3,BIRDS
5.17E+00,2.65E+00,6.52E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220428T120000+1000_REC_6905.994_6910.494.mp3,BIRDS
2.31E+00,8.12E+00,2.58E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220428T200000+1000_REC_3830.662_3835.162.mp3,INSECTS
6.12E+00,5.68E+00,4.08E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220428T220000+1000_REC_4156.341_4160.841.mp3,BACKGROUNDSILENCE
6.17E+00,5.84E+00,4.09E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220429T000000+1000_REC_2710.582_2715.082.mp3,BACKGROUNDSILENCE
8.74E+00,9.73E+00,3.77E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220429T020000+1000_REC_974.177_978.677.mp3,BACKGROUNDSILENCE
7.48E+00,6.43E+00,4.61E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220429T060000+1000_REC_1737.208_1741.708.mp3,VEHICULARAIRCRAFTCARS
6.31E+00,6.32E+00,4.36E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220429T080000+1000_REC_5539.492_5543.992.mp3,BIRDS
9.65E+00,7.14E+00,6.52E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220429T100000+1000_REC_2404.483_2408.983.mp3,BIRDS
5.12E+00,2.20E+00,7.42E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220429T120000+1000_REC_5003.64_5008.14.mp3,INSECTS
9.70E+00,6.75E+00,4.84E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220429T160000+1000_REC_2126.009_2130.509.mp3,INSECTS
2.20E+00,7.92E+00,2.60E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220429T220000+1000_REC_6840.074_6844.574.mp3,MISCELLANEOUSUNCERTAIN
6.07E+00,5.57E+00,4.29E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220430T020000+1000_REC_4432.462_4436.962.mp3,BACKGROUNDSILENCE
4.58E+00,6.52E+00,2.65E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220430T040000+1000_REC_744.489_748.989.mp3,MISCELLANEOUSUNCERTAIN
1.17E+01,8.22E+00,5.55E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220430T080000+1000_REC_2158.345_2162.845.mp3,BACKGROUNDSILENCE
8.15E+00,8.72E+00,4.63E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220430T100000+1000_REC_2537.551_2542.051.mp3,VEHICULARAIRCRAFTCARS
6.06E+00,6.68E+00,4.31E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220430T120000+1000_REC_430.755_435.255.mp3,BIRDS
8.51E+00,9.21E+00,4.08E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220430T160000+1000_REC_3267.934_3272.434.mp3,INSECTS
2.54E+00,8.42E+00,2.56E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220501T040000+1000_REC_3135.276_3139.776.mp3,MISCELLANEOUSUNCERTAIN
8.56E+00,9.15E+00,4.43E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220501T080000+1000_REC_5440.192_5444.692.mp3,BACKGROUNDSILENCE
6.07E+00,6.35E+00,4.24E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220501T160000+1000_REC_2965.043_2969.543.mp3,BIRDS
6.16E+00,9.25E+00,3.26E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220502T020000+1000_REC_2002.039_2006.539.mp3,INSECTS
5.64E+00,8.93E+00,3.40E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220502T060000+1000_REC_7175.076_7179.576.mp3,BACKGROUNDSILENCE
5.60E+00,2.74E+00,6.69E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220503T140000+1000_REC_4051.018_4055.518.mp3,BACKGROUNDSILENCE
6.13E+00,5.51E+00,4.02E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220503T220000+1000_REC_4896.587_4901.087.mp3,BIRDS
7.67E+00,8.72E+00,4.21E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220504T000000+1000_REC_5616.978_5621.478.mp3,INSECTS
5.18E+00,2.24E+00,7.36E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220504T100000+1000_REC_3121.403_3125.903.mp3,BACKGROUNDSILENCE
5.03E+00,2.62E+00,6.60E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220504T120000+1000_REC_5609.466_5613.966.mp3,BACKGROUNDSILENCE
6.58E+00,2.68E+00,6.74E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220504T180000+1000_REC_406.99_411.49.mp3,INSECTS
2.56E+00,8.44E+00,2.55E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220505T000000+1000_REC_5911.996_5916.496.mp3,INSECTS
2.55E+00,8.44E+00,2.55E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20220505T020000+1000_REC_4586.059_4590.559.mp3,BIRDS
6.21E+00,9.37E+00,3.26E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20221112T153851+1000_REC_453.456_457.956.mp3,BACKGROUNDSILENCE
8.78E+00,7.28E+00,3.39E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20221112T192333+1000_REC_1686.518_1691.018.mp3,BACKGROUNDSILENCE
4.57E+00,6.51E+00,2.67E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20221112T200000+1000_REC_3689.823_3694.323.mp3,INSECTS
2.29E+00,8.15E+00,2.62E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20221112T220000+1000_REC_5955.764_5960.264.mp3,BACKGROUNDSILENCE
2.06E+00,7.75E+00,2.62E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20221113T000000+1000_REC_2752.887_2757.387.mp3,BACKGROUNDSILENCE
5.69E+00,9.33E+00,3.14E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20221113T053927+1000_REC_927.232_931.732.mp3,BACKGROUNDSILENCE
6.24E+00,9.30E+00,3.28E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20221113T060000+1000_REC_942.211_946.711.mp3,BACKGROUNDSILENCE
9.69E+00,8.67E+00,4.99E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20221113T140000+1000_REC_5066.799_5071.299.mp3,BIRDS
9.36E+00,9.00E+00,4.84E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20221113T180000+1000_REC_6983.474_6987.974.mp3,BACKGROUNDSILENCE
5.72E+00,9.15E+00,3.26E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20221113T200000+1000_REC_3588.676_3593.176.mp3,BIRDS
6.56E+00,9.26E+00,3.49E+00,D:\PhD-data\new-samples-t0\Duval_DryB_20221113T220000+1000_REC_2002.727_2007.227.mp3,BACKGROUNDSILENCE
