x,y,z,sound_path,class
1.26E+01,3.49E+00,-8.00E-01,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB0_1.wav,anthrophony
1.31E+01,3.27E+00,2.21E-02,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB0_10.wav,anthrophony
1.34E+01,3.34E+00,-3.46E-01,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB0_11.wav,anthrophony
1.31E+01,3.02E+00,2.40E-01,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB0_12.wav,anthrophony
1.31E+01,2.98E+00,2.31E-01,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB0_13.wav,anthrophony
1.30E+01,4.36E+00,-3.82E-01,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB0_2.wav,anthrophony
1.30E+01,4.32E+00,-3.64E-01,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB0_3.wav,anthrophony
1.28E+01,5.47E+00,3.63E-01,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB0_4.wav,anthrophony
1.30E+01,3.55E+00,-4.25E-02,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB0_5.wav,anthrophony
1.31E+01,3.15E+00,1.90E-01,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB0_6.wav,anthrophony
1.31E+01,3.25E+00,1.29E-01,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB0_7.wav,anthrophony
1.32E+01,3.36E+00,-4.87E-02,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB0_8.wav,anthrophony
1.31E+01,3.26E+00,1.38E-01,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB0_9.wav,anthrophony
1.26E+01,5.82E+00,1.95E+00,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB100_1.wav,anthrophony
1.26E+01,6.17E+00,3.11E+00,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB100_10.wav,anthrophony
1.15E+01,6.95E+00,1.94E+00,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB100_11.wav,anthrophony
1.15E+01,6.93E+00,2.03E+00,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB100_12.wav,anthrophony
1.01E+01,6.43E+00,1.77E+00,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB100_13.wav,anthrophony
1.15E+01,7.05E+00,1.92E+00,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB100_2.wav,anthrophony
1.16E+01,7.08E+00,1.97E+00,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB100_3.wav,anthrophony
1.22E+01,5.54E+00,9.20E-01,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB100_4.wav,anthrophony
1.18E+01,6.99E+00,2.16E+00,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB100_5.wav,anthrophony
1.14E+01,6.84E+00,1.94E+00,D:\PhD-data\Tarcutta - Processed\anthrophony\audio_segment_DryB100_6.wav,anthrophony
